video_id,dislikes
pOEzjT-SED0,6304
p9wE8dyzEJE,167
duRDizP0gHQ,422
0O2IAz1E9Ts,622
16W7c0mb-rE,742
nRafaCcfrcI,2679
ixxR3ZoqnF0,2840
lJFqvRwOiis,5375
9PhM-zCmTFs,87
vKbyfdJXoDg,397
Lxet1zLBTM8,760
hpapqEeb36k,747
EEIP1YpFXrE,509
l3xmc0pzzJI,811
eDelIZDzmwQ,372
t1Liix4gi7k,737
DhwwTxTh5To,576
mZpGOQ7tBKE,308
CziCidR4KcY,507
FHl0nIdbiLA,2563
cmoknv58jjE,7800
MMGrzOu1amQ,810
8KT1UCsOE74,1267
cxMvzK2OQTw,8061
U5sCjnezw4o,3
0gwkMY-mzUQ,642
mjBIsBPG1N8,95
oMupq6zB1Tc,1124
dUMH6DVYskc,5339
jG1JY0rt2Os,3303
RrhSJzM8NLE,397
YvfYK0EEhK4,2080
PHWAZNkqwN4,146
Mn-3c6of8t8,453
UwdLlnPaRAU,147
k1cA-Wh3Tc0,794
bAkEd8r7Nnw,1914
xL_qpDkF5A8,146
9pbCuFxRuqs,1107
ItYOdWRo0JY,42467
5530I_pYjbo,862
hXcoq5XDwyA,96
ve3oQBjcAGI,2404
C4YNcqNF4hg,129
TN5jzDgORqQ,307
i9EyFghIt5o,314
4SANXNco_y4,144
PGWBA_OzCE4,86
uN9zBcweN4M,37
Mmkf4zYlW4E,70
9SK1I0V6U5c,1030
L9eFkmjIIWA,44
mcqWcLDUeag,190
#NAME?,14
YjBB89qsupM,385
eQVhAN7-IAw,594
4ftGS_6i7mM,14
IKuKZIISPE0,15
CtBca6H6Teg,496
pcWKpGzhgq4,168
svZScJMh4Pg,412
KOUxLhYVgGw,8
g0K5QoEj7FQ,148
qDAxDcjgn-8,691
vZzIS17HexE,112
upEIZAihcwo,102
p2EY93WfBQk,537
9kF9xY74h-E,682
Qj7DVNDb7To,60
L3br0klRqF4,337
Jidk0O6uu-0,36
Y9nDagqKL7Q,514
0ANDjPQPS_Q,83
6j-s9E3dRQ0,299
E_86MEdNsAI,89
ENr6CXm1YxU,65
2kyS6SvSYSE,7687
DbJ2s_g1oDc,1219
dnA3Cd5xG5A,26
gHZ1Qz0KiKM,2586
1ZAPwfrtAFY,10797
LduRwIc7eBA,19
Cr9oGxr0Qa0,97
l4bAoNAx2uo,1946
rRsstfoKQeo,1
FEjZiCPuvqQ,27
yxFdue1dCtE,70
I-5CODzeGEE,87
YVfyYrEmzgM,120
5E4ZBSInqUU,3983
R9c-_neaxeU,50
jGiqc3HSxEg,236
yZGSIpcAfEo,30
VonJ4ASDO40,744
NfLVVJOuY5M,37
puqaWrEC7tY,1337
vU14JY3x81A,219
zZ9FciUx6gs,719
Hq89wYzOjfs,16
